電影名稱,電影海報網址,上或待上映,電影預告網址,影片類型,主要演員,電影介紹,電影時長,電影螢幕
小丑：雙重瘋狂,上映日期：2024/10/02,https://www.ambassador.com.tw/assets/img/movies/JOKERFOLIEDEUX_180x270_Poster.jpg,影片類型：劇情,null,"主要演員：女神卡卡,瓦昆菲尼克斯",亞瑟佛萊克因為他作為小丑所犯下的罪行，被送進阿卡漢精神病院等待審判。在亞瑟與他的雙重身份掙扎時，他不但邂逅了真愛，還發現了一直存在於內心深處的音樂。,2時18分,數位
（提前包場）愛子歸來,上映日期：2024/09/29,https://www.ambassador.com.tw/assets/img/movies/ComeHomeMyChild_180x270_Poster.jpg,影片類型：紀錄片,null,主要演員：,一群懷抱美國夢的青年，卻在美深陷牢獄。20多年來，是什麼力量驅動楊媽媽持續寄信，聆聽重刑犯心聲？她的孫女又為何只願以紙條溝通？一部長達十年、橫跨台美的紀錄片，記錄獄中青年與楊媽媽由陌生到情同親人的故事，以及屋簷下祖孫從疏離到敞開心扉的轉變。,1時31分,null
aespa：MY First page（感謝應援場）,上映日期：2024/09/28,https://www.ambassador.com.tw/assets/img/movies/aespaMYFirstpage_180x270_Poster.jpg,影片類型：紀錄片,null,主要演員：,aespa自2020年出道以來，不斷展現耀眼的蛻變過程。這部電影不僅記錄了aespa嶄新的音樂世界和獨特的舞臺實況，還揭曉了從未公開的4位成員直率的訪談，以及2023年首度舉辦的巡迴演唱會「SYNK:HYPER LINE」的幕後故事。,1時49分,數位
薇娜：死後七日,上映日期：2024/09/27,https://www.ambassador.com.tw/assets/img/movies/VINABEFORE7DAYS_180x270_Poster.jpg,影片類型：恐怖,null,"主要演員：奈拉丹尼普納馬,吉塞爾瑪菲爾曼夏",印尼最駭人真實靈異事件改編。少女薇娜的屍體在印尼井里汶的高架橋上被發現，警方宣稱她是因為交通事故而喪命，但薇娜的家人們不相信，因為她身上的傷口很不自然。這時，薇娜的靈魂附到了好友琳達的身上，要親自揭發她的駭人遭遇……。,1時40分,數位
千萬別放手,上映日期：2024/09/27,https://www.ambassador.com.tw/assets/img/movies/NEVERLETGO_180x270_Poster.jpg,影片類型：驚悚,null,主要演員：荷莉貝瑞,一位母親與兩個兒子共同生活在森林深處的房子裡，她訂下規則，外出時必須用繩子將自己和房子連結在一起，否則將會遭到外面的怪物傷害，然而，隨著日子的流逝，男孩們開始質疑是否真的有怪物存在……。,1時41分,數位
那年夏天，想見妳,上映日期：2024/09/27,https://www.ambassador.com.tw/assets/img/movies/TheSummer_180x270_Poster.jpg,影片類型：卡通動畫,null,主要演員：,李景的瞳孔是棕色的，她是個再平凡不過的高中生；素伊是學校女足隊的風雲人物，宛如夏日酷陽耀眼。兩個女孩相遇了，意外墜入愛河，即將迎來20歲生日的她們，許願展望未來。與順利考上大學的李景不同，素伊提前進入了社會，在充滿陌生的幸福與瑣碎的誤會間，兩人必須面對新的季節。,1時1分,數位
不朽之櫻,上映日期：2024/09/27,https://www.ambassador.com.tw/assets/img/movies/Sakura_180x270_Poster.jpg,影片類型：劇情,null,"主要演員：萩原利久,杉咲花",一名女大學生多次被跟騷，最後落得被殺害的下場。警察因屢屢拖延受理女大學生的報案而難辭其咎，任職於警局宣傳課的森口泉懷疑擔任記者的好友千佳報導了警方的內幕。但想證明自己清白的千佳卻在一周後被發現橫屍野外。在自責和後悔的驅使下，泉發誓要親手找出殺死千佳的兇手…。,2時0分,數位
超時空愛殺,上映日期：2024/09/27,https://www.ambassador.com.tw/assets/img/movies/THEBEAST_180x270_Poster.jpg,影片類型：劇情,null,"主要演員：喬治麥凱,蕾雅瑟杜",在人工智慧占主導地位的不久將來，人類的情感被視為威脅。2044年，一位年輕女子考慮把DNA基因淨化，抹去自己的感情，她同時遇上命中註定相遇糾葛三生三世的愛人。穿越時代的奇幻史詩，結合浪漫、驚慄與科幻各種元素，故事發生在1910年、2014年洛杉磯和2044年的巴黎。,2時26分,數位
在大雪封閉的山莊裡,上映日期：2024/09/27,https://www.ambassador.com.tw/assets/img/movies/InanIsolatedCottageonaSnowyMountain_180x270_Poster.jpg,影片類型：劇情,null,"主要演員：間宮祥太朗,WEST.重岡大毅",七位演員應邀參加新劇的最終試鏡，試鏡地點設在一處被大雪封閉的山莊，並安排在為期四天的合宿期間進行。劇本是這行人被困在這個山莊，並陷入了一宗連環殺人案中。在這個封閉的空間中，演員們卻一一消失。這究竟是虛構的故事，還是現實？一個驚心動魄的結局即將揭曉。,1時49分,數位
薩滿男孩,上映日期：2024/09/27,https://www.ambassador.com.tw/assets/img/movies/CityofWind_180x270_Poster.jpg,影片類型：劇情,null,主要演員：特勒格包德額爾登,17 歲的阿哲出身古老的蒙古薩滿家族，常在課餘時間擔任薩滿巫師。少女瑪拉拉因為先天心臟病，被父母帶到阿哲面前，希望借助薩滿的力量助她度過難關。兩條平行線漸漸交織在一起。初戀讓阿哲感受到前所未有的快樂，阿哲另一個截然不同的人生，似乎可能實現…。,1時44分,數位
