電影名稱,影城,日期,時間,廳位席位
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,11:00,A廳 396席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,11:40,1廳 145席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,12:20,9廳 98席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,13:00,2廳 49席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,13:40,A廳 396席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,14:20,1廳 145席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,15:00,9廳 98席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,15:40,2廳 49席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,16:20,A廳 396席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,17:00,1廳 145席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,17:40,9廳 98席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,18:20,2廳 49席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,19:00,A廳 396席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,19:40,1廳 145席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,20:20,9廳 98席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,21:00,2廳 49席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,21:40,A廳 396席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,22:20,1廳 145席
小丑：雙重瘋狂,台北長春國賓影城,2024/10/02,23:00,9廳 98席
小丑：雙重瘋狂,林口昕境國賓影城,2024/10/02,14:30,7廳 196席
小丑：雙重瘋狂,林口昕境國賓影城,2024/10/02,15:20,A廳 50席
小丑：雙重瘋狂,林口昕境國賓影城,2024/10/02,17:10,7廳 196席
小丑：雙重瘋狂,林口昕境國賓影城,2024/10/02,18:00,A廳 50席
小丑：雙重瘋狂,林口昕境國賓影城,2024/10/02,19:50,7廳 196席
小丑：雙重瘋狂,林口昕境國賓影城,2024/10/02,20:40,A廳 50席
小丑：雙重瘋狂,林口昕境國賓影城,2024/10/02,22:30,7廳 196席
小丑：雙重瘋狂,林口昕境國賓影城,2024/10/02,13:40,2廳 192席
小丑：雙重瘋狂,林口昕境國賓影城,2024/10/02,16:20,2廳 192席
小丑：雙重瘋狂,林口昕境國賓影城,2024/10/02,19:00,2廳 192席
小丑：雙重瘋狂,林口昕境國賓影城,2024/10/02,21:40,2廳 192席
小丑：雙重瘋狂,國賓大戲院,2024/10/02,12:30,2廳 97席
小丑：雙重瘋狂,國賓大戲院,2024/10/02,15:00,2廳 97席
小丑：雙重瘋狂,國賓大戲院,2024/10/02,20:00,2廳 97席
小丑：雙重瘋狂,國賓大戲院,2024/10/02,21:00,3廳 102席
小丑：雙重瘋狂,國賓大戲院,2024/10/02,10:40,鉅院廳 745席
小丑：雙重瘋狂,國賓大戲院,2024/10/02,14:00,鉅院廳 745席
小丑：雙重瘋狂,國賓大戲院,2024/10/02,16:40,鉅院廳 745席
小丑：雙重瘋狂,國賓大戲院,2024/10/02,19:20,鉅院廳 745席
