影城,戲院,戲院海報,介紹,交通方式,地址,連絡電話,
國賓戲院,國賓大戲院,https://www.ambassador.com.tw/images/img/theater/chengdu_banner202107.png,"「國賓大戲院」位於台北市西門町，堅持國際頂級聲光放映設備。擁有3個國際級影廳，配備Christie 4K RGB純雷射放映機，搭配西班牙名家設計Figueras的高級座椅，打造無死角視覺，使每一位觀眾都能獲得最佳的觀賞視野與娛樂效果。
其中更重金打造國賓鉅院廳，採用雙機4K雷射投影，最高亮度輸出可達90,000流明；並可支援120幀/秒的速度，以高速流暢的播放數位影片，每一幀圖片清楚的重現，有如身歷其境。搭配全新22米寬、12米高的世界頂級Harkness定向銀幕，有著高品質增益、高亮度、寬視角、高解析度、全視角螢幕等多項特色，提供給您更清晰的圖像品質。同時，國賓大戲院所打造的國賓鉅院廳也是全台最大的Dolby?Atmos? 杜比?全景聲影廳，全新音頻平台及立體音感，環境音場震撼清晰、無與倫比，是挑剔電影視聽極致表現的觀眾之最愛。更獨家引進加拿大D-BOX動感座椅，讓觀眾真正享受不可思議的視聽新體驗。","大眾捷運 請搭捷運板南線或小南門線至西門站下車，再從西門站的1號或6號出口步行約5分鐘。
公共汽車
中華路北站：
706、667、601、310、302、260、252、250、205、52、12

西門站：
637、640、527、307、304、270、265、263、249左(右)、243

衡陽路：
663、651、621、513、318、263、257、235、222、20

峨嵋街：
705、703、702、701、628、624、242、231",台北市成都路88號,02-2361-1223,
國賓戲院,台北長春國賓影城,https://www.ambassador.com.tw/images/img/theater/changchun_banner.png,"「台北長春國賓影城」地處台北商辦中心，有便捷的大眾交通運輸及充裕的停車位。北市首座同時映演商業鉅片與藝術影片的時尚影城，滿足各類型觀眾豐富多樣的觀影選擇，驚艷視覺饗宴、豐厚人文精神的新地標。
影城設有15個國際水準的觀影廳，含無障礙座位共有1314席，搭配原裝進口法國知名品牌Quinette的高級座椅，流線人體工學設計，寬敞舒適的座墊及椅背，貼心的置杯架，讓每一個顧客都能享受觀影的舒適環境。
全廳院設置杜比Dolby Surround 7.1聲道數位環繞音響，以及世界知名Harkness Hall超寬弧形透聲銀幕，加上絕佳音場環境設計，提供每一位消費者最奢華的視覺饗宴。","大眾捷運 請搭捷運蘆洲線至松江南京站7號出口，沿松江路往行天宮站方向直走至長春路路口右轉即可到達。
公共汽車
松江路：
109、203、214、214(直達車)

長春松江路口：
90、41、49、49(區間車)、5、505、527、642、643、676、72、72(直達)

長春國小：
12

南京松江路口：
292、292(副)、292(區間車)、306、306(區間車)、307、46、5、604、605(快速公車)、622、652、711、紅25、麥帥新城接駁公車(試辦)、棕9",台北市中山區長春路176號,02-2515-5757,
國賓戲院,新莊晶冠國賓影城,https://www.ambassador.com.tw/images/img/theater/xinzhuang_banner.png,"「新莊晶冠國賓影城」位於新北市五股區與新莊區交界，未來有雙捷運線通過，結合了餐飲、休閒娛樂等指標性購物商場。2座金鑽貴賓廳配備舒適寬敞的人體工學沙發座椅，可調整為橫躺的舒適設計，貼心尊榮的禮賓服務，讓看電影不僅是單純的娛樂，更昇華為享受。
影城設有13個影廳，含無障礙座位共有821席。搭配全新的高級座椅，流線人體工學設計，寬敞舒適的座墊及椅背，並有貼心的置杯架。
全廳院設置杜比Dolby Surround 7.1聲道數位環繞音響，以及世界知名Harkness Hall超寬透聲銀幕，加上絕佳音場環境設計，提供每一位消費者最奢華的視覺饗宴。","大眾捷運 請搭捷運桃園機場捷運線至新北產業園區下車，出口步行約5分鐘。
公共汽車
管理中心：
橘17、橘21、835、520、982環狀線先導公車。

新北產業園區站：
F202",新北市新莊區五工路66號3、4F (晶冠廣場),02-8521-6517,service@ambassador.com.tw
國賓戲院,林口昕境國賓影城,https://www.ambassador.com.tw/images/img/theater/linkou_banner.png,"「林口昕境國賓影城」擁有8個國際級影廳，配備Dolby? Atmos? 杜比?全景聲音響系統•環境音場震撼清晰、無與倫比，感受全新立體音感。 尊爵席配備舒適寬敞的人體工學沙發座椅，可調整為橫躺的舒適設計，貼心尊榮的禮賓服務，讓看電影不僅是單純的娛樂，更昇華為享受。
影城設有8個影廳，含無障礙座位共有943席。搭配全新的高級座椅，流線人體工學設計，寬敞舒適的座墊及椅背，並有貼心的置杯架。
全廳院設置杜比Dolby Surround 7.1聲道數位環繞音響，以及世界知名Harkness Hall超寬透聲銀幕，加上絕佳音場環境設計，提供每一位消費者最奢華的視覺饗宴。","公共汽車
920、936、945、786、948：忠孝路口下車約步行1分鐘

桃園客運 5063：林口國宅站下車，再步行約3-5分鐘",新北市林口區文化三路一段402巷2號4F(昕境廣場),02-2608-0011,
國賓戲院,淡水禮萊國賓影城,https://www.ambassador.com.tw/images/img/theater/fabgreen_banner.png,"「淡水禮萊國賓影城」擁有8個國際級影廳，全廳院設置杜比Dolby Surround 7.1聲道數位環繞音響，以及世界知名Harkness Hall超寬透聲銀幕，加上絕佳音場環境設計，提供每一位消費者最奢華的視覺饗宴。
影城設有8個影廳，含無障礙座位共有888席。搭配全新的高級座椅，流線人體工學設計，寬敞舒適的座墊及椅背，並有貼心的置杯架。","公共汽車
可自捷運淡水站搭乘紅26、880、836、857滬尾砲台站下車步行約2分鐘",新北市淡水區中正路一段2號(禮萊廣場),02-2626-0707,
國賓戲院,八德置地國賓影城,https://www.ambassador.com.tw/images/img/theater/bade_banner.png,"「八德置地國賓影城」位於桃園市八德區主要幹道介壽路一段上，交通便利且提供相當充裕的停車位。是桃園市八德區結合影城、商場、美食街及大賣場的豪華娛樂影城新地標！
影城設有8個國際級影廳，含無障礙座位共有1636席，搭配全新原裝進口西班牙Figueras高級座椅，流線人體工學設計，寬敞舒適的座墊及椅背，讓每一個顧客都能享受觀影的舒適環境。
搭配最新Dolby? Atmos? 杜比?全景聲音響系統及全廳院設置杜比Dolby Surround 7.1聲道數位環繞音響，結合全台獨家D-BOX動感座椅，以及世界知名Harkness Hall超寬透聲銀幕，提供每一位消費者最極致的觀影體驗。","公共汽車
介壽路上搭乘，雙向皆有上下車處( 站牌：置地生活廣場或介壽大智路口 )

桃園火車站前站│桃園客運 ( 市區公車 )：
102 桃園--景雲新村
157 桃園--八德--新興高中
201 蘆竹--八德
GR2 桃園--八德
GR2A 桃園--八德

桃園火車站後站│桃園客運總站 ( 公路客運 )：
5000 至善高中--桃園(經大溪)
5008 桃園--中壢車站(經龍岡)
5010 中壢--桃園(經仁美 八德)
5011 桃園--中壢(經竹巷)
5044 龍潭--桃園(經十一份)
5060 榮民之家--桃園(經更寮腳)
5096 桃園--大溪(經更寮腳)",桃園市八德區介壽路一段728號4F(置地生活廣場),03-218-2898,
國賓戲院,台南國賓影城,https://www.ambassador.com.tw/images/img/theater/tainan_banner.png,"「台南國賓影城」位於台南市東區與永康區交界精華地段，交通便利並附設專屬停車場，兩座國際頂級複合式主題電影院，時尚品味一館影廳與氣派典雅的中大型二館影廳，觀影空間搭配舒適摩登的沙發座椅、磅礡細膩的杜比環繞音響，讓每一個顧客都能享受觀影的舒適環境，影廳內配置加拿大4D炫躍動感技術D-BOX動態座椅與尊榮禮賓「尊爵席」，是台南唯一擁有最多元放映影廳的電影院，讓看電影不僅是單純的娛樂，更昇華為極致享受！
兩館設有12座國際水準的觀影廳，含無障礙座位共有1940席，配置原裝進口法國知名品牌Quinette高級座椅，流線人體工學設計，寬敞舒適的沙發座椅，更加大座椅間距，打造無死角視覺，使每一位觀眾都能獲得最佳的觀賞視野與娛樂效果，讓看電影更為舒適。可容納近465席次的「A廳」全面升級視聽設備，採用了15.5米寬、6.6米高的世界頂級Harkness Silver 3D超寬弧形透聲銀幕，有著高品質增益、高亮度、寬視角、高解析度、全視角螢幕等多項特色，集結世界潮流的聲光設備與舒適動感，呈現最完美、愉快的電影時光。
全廳院設置杜比Dolby Surround 7.1聲道數位環繞音響，以及世界知名Harkness Hall超寬弧形透聲銀幕，加上絕佳音場環境設計，提供每一位消費者最奢華的視覺饗宴。","自行開車
國道1號(中山高速公路)：
南下至大灣交流道往復興路/180縣道向右轉
北上至仁德交流道接182縣道往永康／台南市區方向

南二高
下關廟交流道接182縣道往永康市／台南市區方向

高鐵接駁車
中華路：H62(國賓影城站)

公共汽車
中華路：15

小東路：20、122(至彰化銀行站下車，步行5-10分鐘可到達)",台南市中華東路一段66號/88號(台南國賓廣場),06-234-7166,
國賓戲院,高雄義大國賓影城,https://www.ambassador.com.tw/images/img/theater/yida_banner.png,"「高雄義大國賓影城」擁有10個國際級影廳，及領先全台的獨家D-BOX動感座椅，帶給您感受超凡絕佳的觀影體驗！ 20米寬超大銀幕的第8廳“巨幕廳”， 以絕佳的空間感及視覺感完美呈現電影的最高水準。2座金鑽貴賓廳配備舒適寬敞的人體工學沙發皮椅，可自由調整個人最佳視線傾斜角度，貼心尊榮的禮賓服務，讓看電影不僅是單純的娛樂，更昇華為享受。
影城設有10個影廳，含無障礙座位共有1764席，搭配全新原裝進口日本Kotobuki高級座椅及美國FIRST CLASS貴賓廳沙發座椅，流線人體工學設計，寬敞舒適的座墊及椅背，讓每一個顧客都能享受觀影的舒適環境。
全廳院設置杜比Dolby Surround 7.1聲道，以及世界知名Harkness Hall超寬透聲銀幕，加上絕佳音場環境設計，提供每一位消費者最奢華的視覺饗宴。","高鐵、捷運
搭乘至左營高鐵站後，捷運左營站1號出口前方5號月台搭乘義大客運至義大世界，平均半小時一班。

客運
請參考義大客運網站http://www.edabus.com.tw/

開車指引
國道中山高速公路：
國道1號至鼎金系統交流道接國道10號往仁武方向→下仁武交流道→水管路右轉→接高52線(義大二路)至義大世界。
國道3號高速公路：
國道3號至燕巢系統交流道接國道10號往高雄方向→下仁武交流道→左轉水管路→接高52線(義大二路)至義大世界。",高雄市大樹區學城路一段12號3F(高雄義大世界),07-656-8368,
國賓戲院,高雄SKM Park國賓影城,https://www.ambassador.com.tw/images/img/theater/grassroad_banner.png,"「高雄SKM Park國賓影城」擁有10個國際級影廳，位於高雄 SKM park，緊鄰捷運紅線草衙站2號出口，結合了餐飲、休閒娛樂等指標性購物商場。全廳院配備杜比7.1聲道環繞音效，其中2個廳更配有Dolby? Atmos? 杜比?全景聲音響系統及領先全台的獨家D-BOX動感座椅，帶給您感受超凡絕佳的觀影體驗！
影城設有10個影廳，含無障礙座位共有1856席，搭配全新原裝進口西班牙Figueras高級座椅，流線人體工學設計，寬敞舒適的座墊及椅背，讓每一個顧客都能享受觀影的舒適環境。搭配最新Dolby? Atmos? 杜比?全景聲音響系統及全廳院設置杜比Dolby Surround 7.1聲道數位環繞音響，結合全台獨家D-BOX動感座椅，以及世界知名Harkness Hall超寬透聲銀幕，提供每一位消費者最極致的觀影體驗。","大眾捷運 捷運紅線草衙站2號出口
公共汽車
紅6 於「捷運草衙站」下車→由捷運地下連通道步行至高雄 SKM park。
紅7A、7B、7C 於「捷運公司(捷運草衙站)」下車步行至高雄 SKM park。
紅9A、9B「捷運草衙站」下車→由捷運地下連通道步行至高雄 SKM park。
69A、69B於「捷運公司(捷運草衙站)」下車步行至高雄 SKM park。

開車指引
國道1號南下尾端 往三國通道下中安路閘道右轉至大魯閣草衙道",高雄市前鎮區中山四路100號3樓(高雄 SKM park),07-793-3611,
國賓戲院,屏東環球國賓影城,https://www.ambassador.com.tw/images/img/theater/pingtung_banner.png,"「屏東環球國賓影城」擁有6個國際級影廳，為屏東首座結合購物中心的全數位化精緻都會型影城，擁有屏東最大、座位數最多的影廳，交通便利。領先全台的獨家D-BOX 動感座椅以及全廳院杜比7.1聲道環繞音效，視角絕佳的影廳格局，體驗身歷其境的影音震撼。結合經典美漫電影角色元素的繽紛設計，營造出全新的觀影享受與炫麗、繽紛、摩登的時尚影城風格。
影城設有6個影廳，含無障礙座位共有1135席，搭配全新原裝進口Quinette高級座椅，流線人體工學設計，寬敞舒適的座墊及椅背，並有貼心的置杯架。
全廳院設置杜比Dolby Surround 7.1聲道，以及世界知名Harkness Hall超寬透聲銀幕，加上絕佳音場環境設計，提供每一位消費者最奢華的視覺饗宴。

","自行開車
國道高速公路：
走國道三號麟洛交流道下→右轉直行台一線至民生路→自由路右轉→公園路左轉直行約500公尺處；如下高屏大橋→復興南路一段左轉→自由路右轉→公園東路左轉直行約500公尺處。

公共汽車
8227屏東三地門鄉公所(屏東醫院站下車)。
8229屏東三和村三地門(屏東醫院站下車)。
8289海生館四重溪線 請更改為8228屏東份仔三地門線(屏東醫院站下車)。
507屏東火車站─和平國小(屏東醫院站下車)。",屏東縣屏東市仁愛路90號6樓(屏東環球購物中心),08-766-2128,
